comunidad_autonoma,año,tope_ico,precio_medio_compraventa,brecha_ico,salario_HyM,salario_H,salario_M,sal_neto_mensual_HyM,cuota_max_HyM,hipoteca_max_HyM,precio_max_vivienda_HyM,brecha_acceso_HyM,sal_neto_mensual_M,cuota_max_M,hipoteca_max_M,precio_max_vivienda_M,brecha_acceso_M,sal_neto_mensual_H,cuota_max_H,hipoteca_max_H,precio_max_vivienda_H,brecha_acceso_H,salario_pareja_HM,salario_pareja_MM,salario_pareja_HH,sal_neto_mensual_pareja_HM,cuota_max_pareja_HM,hipoteca_max_pareja_HM,precio_max_vivienda_pareja_HM,brecha_acceso_pareja_HM,sal_neto_mensual_pareja_MM,cuota_max_pareja_MM,hipoteca_max_pareja_MM,precio_max_vivienda_pareja_MM,brecha_acceso_pareja_MM,sal_neto_mensual_pareja_HH,cuota_max_pareja_HH,hipoteca_max_pareja_HH,precio_max_vivienda_pareja_HH,brecha_acceso_pareja_HH
Andalucía,2024,225000,181859.0,43141.0,20579.95,22036.01,19197.66,1337.7,468.2,96077.24,120096.55,-61762.45,1247.85,436.75,89623.53,112029.41,-69829.59,1432.34,501.32,102873.65,128592.06,-53266.94,41233.67,38395.32,44072.02,2680.19,938.07,192497.18,240621.47,58762.47,2495.7,873.49,179245.01,224056.26,42197.26,2864.68,1002.64,205747.3,257184.12,75325.12
Aragón,2024,275000,134758.25,140241.75,23502.3,24911.95,21789.86,1527.65,534.68,109719.31,137149.14,2390.89,1416.34,495.72,101724.5,127155.62,-7602.63,1619.28,566.75,116300.25,145375.31,10617.06,46701.81,43579.72,49823.9,3035.62,1062.47,218024.75,272530.94,137772.69,2832.68,991.44,203449.0,254311.25,119553.0,3238.55,1133.49,232598.45,290748.06,155989.81
Principado de Asturias,2024,250000,115712.0,134288.0,21862.39,23762.16,,1421.06,497.37,102063.09,127578.86,11866.86,,,,,,1544.54,540.59,110932.07,138665.09,22953.09,,,47524.32,,,,,,,,,,,3089.08,1081.18,221864.15,277330.19,161618.19
Illes Balears,2024,275000,366092.0,-91092.0,25488.87,24890.88,26263.73,1656.78,579.87,118992.55,148740.69,-217351.31,1707.14,597.5,122610.32,153262.9,-212829.1,1617.91,566.27,116201.75,145252.19,-220839.81,51154.61,52527.46,49781.76,3325.05,1163.77,238812.08,298515.1,-67576.9,3414.28,1195.0,245220.65,306525.81,-59566.19,3235.81,1132.53,232401.46,290501.82,-75590.18
Canarias,2024,250000,184322.25,65677.75,20573.9,21426.91,19600.55,1337.3,468.05,96046.46,120058.08,-64264.17,1274.04,445.91,91503.21,114379.01,-69943.24,1392.75,487.46,100029.5,125036.88,-59285.37,41027.46,39201.1,42853.82,2666.78,933.37,191532.72,239415.9,55093.65,2548.07,891.82,183006.42,228758.02,44435.77,2785.5,974.92,200059.01,250073.76,65751.51
Cantabria,2024,250000,159296.0,90704.0,21678.54,,,1409.11,493.19,101205.33,126506.66,-32789.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castilla y León,2024,250000,115254.25,134745.75,23827.8,24689.65,22664.63,1548.81,542.08,111237.83,139047.29,23793.04,1473.2,515.62,105808.09,132260.11,17005.86,1604.83,561.69,115261.91,144077.39,28823.14,47354.28,45329.26,49379.3,3078.03,1077.31,221070.0,276337.5,161083.25,2946.4,1031.24,211616.18,264520.22,149265.97,3209.65,1123.38,230523.82,288154.77,172900.52
Castilla-La Mancha,2024,250000,97907.25,152092.75,21425.35,21785.36,21000.21,1392.65,487.43,100023.35,125029.19,27121.94,1365.01,477.75,98036.96,122546.2,24638.95,1416.05,495.62,101703.98,127129.98,29222.73,42785.57,42000.42,43570.72,2781.06,973.37,199740.94,249676.18,151768.93,2730.03,955.51,196075.97,245094.96,147187.71,2832.1,991.23,203405.91,254257.39,156350.14
Cataluña,2024,300000,223306.25,76693.75,28269.97,29625.35,26937.89,1837.55,643.14,131975.91,164969.89,-58336.36,1750.96,612.84,125758.18,157197.72,-66108.53,1925.65,673.98,138304.44,172880.55,-50425.7,56563.24,53875.78,59250.7,3676.61,1286.81,264060.57,330075.71,106769.46,3501.93,1225.68,251516.35,314395.44,91089.19,3851.3,1347.96,276608.89,345761.11,122454.86
Comunitat Valenciana,2024,250000,150824.25,99175.75,23074.87,24519.42,21577.36,1499.87,524.95,107722.66,134653.32,-16170.93,1402.53,490.89,100733.36,125916.7,-24907.55,1593.76,557.82,114467.77,143084.71,-7739.54,46096.78,43154.72,49038.84,2996.29,1048.7,215199.07,268998.84,118174.59,2805.06,981.77,201464.66,251830.82,101006.57,3187.52,1115.63,228933.48,286166.85,135342.6
Extremadura,2024,200000,84423.25,115576.75,19907.45,20925.49,,1293.98,452.89,92935.55,116169.44,31746.19,,,,,,1360.16,476.06,97690.16,122112.7,37689.45,,,41850.98,,,,,,,,,,,2720.31,952.11,195378.27,244222.84,159799.59
Galicia,2024,250000,136125.75,113874.25,21697.55,22864.57,20457.25,1410.34,493.62,101293.57,126616.96,-9508.79,1329.72,465.4,95502.67,119378.34,-16747.41,1486.2,520.17,106741.78,133427.22,-2698.53,43321.82,40914.5,45729.14,2815.92,985.57,202244.45,252805.56,116679.81,2659.44,930.8,191005.34,238756.68,102630.93,2972.39,1040.34,213483.55,266854.44,130728.69
Comunidad de Madrid,2024,325000,327844.75,-2844.75,29361.99,30789.11,27651.84,1908.53,667.99,137075.26,171344.08,-156500.67,1797.37,629.08,129090.72,161363.4,-166481.35,2001.29,700.45,143736.24,179670.3,-148174.45,58440.95,55303.68,61578.22,3798.66,1329.53,272826.95,341033.69,13188.94,3594.74,1258.16,258181.43,322726.79,-5117.96,4002.58,1400.9,287472.47,359340.59,31495.84
Región de Murcia,2024,250000,112605.75,137394.25,21039.68,22652.43,19211.94,1367.58,478.65,98221.64,122777.05,10171.3,1248.78,437.07,89689.2,112111.5,-494.25,1472.41,515.34,105750.63,132188.29,19582.54,41864.369999999995,38423.88,45304.86,2721.18,952.41,195439.83,244299.79,131694.04,2497.55,874.14,179378.39,224222.99,111617.24,2944.82,1030.69,211503.32,264379.15,151773.4
C. Foral de Navarra,2024,300000,197109.25,102890.75,27731.4,29032.81,26383.73,1802.54,630.89,129462.14,161827.67,-35281.58,1714.94,600.23,123170.53,153963.16,-43146.09,1887.13,660.5,135538.27,169422.84,-27686.41,55416.54,52767.46,58065.62,3602.08,1260.73,258708.81,323386.01,126276.76,3429.88,1200.46,246341.07,307926.34,110817.09,3774.27,1320.99,271074.5,338843.12,141733.87
País Vasco,2024,300000,251393.75,48606.25,28035.29,29415.47,25983.6,1822.29,637.8,130880.11,163600.14,-87793.61,1688.93,591.13,121303.16,151628.95,-99764.8,1912.01,669.2,137323.56,171654.45,-79739.3,55399.07,51967.2,58830.94,3600.94,1260.33,258626.73,323283.41,71889.66,3377.87,1182.25,242604.28,303255.35,51861.6,3824.01,1338.4,274647.12,343308.9,91915.15
La Rioja,2024,250000,120782.5,129217.5,23226.7,,,1509.74,528.41,108432.67,135540.84,14758.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceuta,2024,250000,163516.5,86483.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Melilla,2024,250000,168312.5,81687.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
