comunidad_autonoma,año,precio_minimo,provincia_minimo,precio_maximo,provincia_maximo,tope_ico,precio_medio_compraventa
Andalucía,2024,78281,Jaén,298593,Málaga,225000,181859.0
Andalucía,2025,84649,Jaén,325945,Málaga,225000,194469.5
Aragón,2024,81868,Teruel,148561,Zaragoza,275000,134758.25
Aragón,2025,84463,Teruel,155216,Zaragoza,275000,143243.0
C. Foral de Navarra,2024,195137,Navarra,200162,Navarra,300000,197109.25
C. Foral de Navarra,2025,201072,Navarra,211965,Navarra,300000,205306.0
Canarias,2024,173644,Las Palmas,198035,Santa Cruz de Tenerife,250000,184322.25
Canarias,2025,184106,Las Palmas,225465,Santa Cruz de Tenerife,250000,202770.5
Cantabria,2024,150322,Cantabria,166378,Cantabria,250000,159296.0
Cantabria,2025,172039,Cantabria,187107,Cantabria,250000,178490.25
Castilla y León,2024,84302,Ávila,153014,Valladolid,250000,115254.25
Castilla y León,2025,85077,Zamora,163414,Valladolid,250000,121625.25
Castilla-La Mancha,2024,68179,Ciudad Real,144008,Guadalajara,250000,97907.25
Castilla-La Mancha,2025,73167,Ciudad Real,161130,Guadalajara,250000,106117.75
Cataluña,2024,135742,Tarragona,257407,Barcelona,300000,223306.25
Cataluña,2025,140514,Lleida,269568,Barcelona,300000,235906.75
Ceuta,2024,159756,Ceuta,167067,Ceuta,250000,163516.5
Ceuta,2025,169535,Ceuta,184418,Ceuta,250000,176339.0
Comunidad de Madrid,2024,319940,Madrid,339805,Madrid,325000,327844.75
Comunidad de Madrid,2025,351077,Madrid,386239,Madrid,325000,369722.0
Comunitat Valenciana,2024,100967,Castellón / Castelló,175274,Alicante / Alacant,250000,150824.25
Comunitat Valenciana,2025,108440,Castellón / Castelló,192574,Alicante / Alacant,250000,166717.25
Extremadura,2024,81738,Badajoz,88654,Cáceres,200000,84423.25
Extremadura,2025,83774,Cáceres,93983,Badajoz,200000,90269.0
Galicia,2024,83595,Lugo,168982,Pontevedra,250000,136125.75
Galicia,2025,88592,Lugo,182573,Pontevedra,250000,148892.5
Illes Balears,2024,349942,Illes Balears,380166,Illes Balears,275000,366092.0
Illes Balears,2025,394978,Illes Balears,410322,Illes Balears,275000,402166.0
La Rioja,2024,116029,La Rioja,126372,La Rioja,250000,120782.5
La Rioja,2025,128666,La Rioja,131939,La Rioja,250000,130532.5
Melilla,2024,166262,Melilla,170283,Melilla,250000,168312.5
Melilla,2025,172257,Melilla,181172,Melilla,250000,177229.75
País Vasco,2024,218325,Araba / Álava,291196,Gipuzkoa,300000,251393.75
País Vasco,2025,224972,Araba / Álava,308197,Gipuzkoa,300000,267582.0
Principado de Asturias,2024,113459,Asturias,117326,Asturias,250000,115712.0
Principado de Asturias,2025,120215,Asturias,130060,Asturias,250000,124854.0
Región de Murcia,2024,109513,Murcia,116376,Murcia,250000,112605.75
Región de Murcia,2025,119317,Murcia,132178,Murcia,250000,125773.75
