comunidad_autonoma,salario_HyM,salario_H,salario_M
Andalucía,20579.95,22036.01,19197.66
Aragón,23502.3,24911.95,21789.86
C. Foral de Navarra,27731.4,29032.81,26383.73
Canarias,20573.9,21426.91,19600.55
Cantabria,21678.54,,
Castilla y León,23827.8,24689.65,22664.63
Castilla-La Mancha,21425.35,21785.36,21000.21
Cataluña,28269.97,29625.35,26937.89
Comunidad de Madrid,29361.99,30789.11,27651.84
Comunitat Valenciana,23074.87,24519.42,21577.36
Extremadura,19907.45,20925.49,
Galicia,21697.55,22864.57,20457.25
Illes Balears,25488.87,24890.88,26263.73
La Rioja,23226.7,,
País Vasco,28035.29,29415.47,25983.6
Principado de Asturias,21862.39,23762.16,
Región de Murcia,21039.68,22652.43,19211.94
